respondent_id,question_id,question_text,header_level_1,header_level_2,answer_text
114242463371,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Trimet Transit Tracker being more reliable during events (like driver shortages, power outages, rain, etc). I have spent many hours on the phone with Trimet to determine when the enxt bus is coming. I also think more stops need shelter. It is hard when a bus comes 1x an hour, it doesn't arrive, and I have to wait outside in the cold and rain."
114242532624,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),parking
114242571273,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"""Express"" routes on MAX form main hubs through to other hubs or end of line"
114242716030,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),A trip on transit does not feel like a ride in an infectious disease petri dish.
114242741677,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Extend MAX Blue line to Cornelius and Forest Grove.
114243198485,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Free transit for all
114243266354,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),No todas las paradas cuentan con un albergue necesario durante la época de lluvias
114243566440,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Safety and cleanliness on MAX.  I've been disgusted by unclean conditions.  Someone who had obviously defecated in his clothing and other severe hygiene issues.
114243652521,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),stops closer to home
114244125803,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),More direct routes in useful places.
114244149942,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),More thorough cleaning
114244576369,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),better security at Hillsboro TC
114244838643,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"More bus stops, Bus stops on gaarde street for example"
114245330333,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Overnight parking at Hatfield so I can use transit to PDX.
114245575358,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),More late night transit
114246331532,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"MAX is very dirty, the max stops are unhygienic more often than not"
114247548722,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),more direct routes to North Hillsboro
114247571025,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Prioritize connecting modes like bicycling and walking. They deserve direct and safe connections to stops. Racks on buses should be outfitted to accomadate heavier bikes with fatter tires, as the populatiry of e bikes increases this will be important"
114248365242,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Too many stops downtown PDX
114248641120,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Daily sanitization, seat covers reupholstered or replaced by durable or plastic which is easiest to maintain/clean,"
114249060438,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"More options for park and rides, or at least clearer signs for where the park and rides are"
114250479497,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Buses and trains being cleaned
114251323257,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Much, much more within walking distance of light rail stops. Very high density housing/retail. Stops are barren but should be our centers of life."
114251325021,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Cleanliness needs to be reinforced both max and bus.
114252553645,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Menor costo y Sombreado☔️☂️☀️
114254040700,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Portland buses seem to run regularly. Beaverton ones are terrible, except for bus 76, in my experience. Sometimes I walk 2 miles because of wait times, and with groceries and kids that is not sustainable for me."
114254380446,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"need more covered stops, need more stops with time displays"
114254461160,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Transit runs later into night for those wanted to be out at late night events
114254549092,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Triple bike racks on buses. More room to stand with bikes on max
114255379719,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),We need more local stops for north Hillsboro. More stops like to university of portland or to north portland.
114258120481,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"I'm in a bus desert; it has had service cuts and only feeds Max stops, even though services aren't always near Max.  If TriMet could also staff based on normal commute hours instead of messing with those of us who DO commute at 6:30am and 4:30pm with ""oh, delays due to operator shortages"".  How many people ride at 2am?  Could any of those operators move to days?"
114258397742,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Buses coordinate so transfers are easy (so folks don't miss connecting busses)
114258618881,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"To reach the max train, it's a mile and half, wish streets like John Olsen Tanasbourne  to station had bus route"
114260240370,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Transit should be something more readily available late at night and early in the morning
114260833733,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Transit runs earlier in the morning on weekdays
114262870863,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),I would love to see the MAX extend down to Bridgeport
114263993789,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),More Trains During High-Ridership Hours--Intervals Between Train Arrival should change from every 15-30 mins to 10 mins during high-traffic hours.
114264134661,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Cleanliness
114264334211,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Lower cost/free tickets for children,"
114265320049,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Don't just arbitrarily remove the deep suburbs from rights of transportation. Incredibly disheartening and exclusionary choices.
114265867303,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Added/improved routes filling in gaps in coverage and improving connection/transfer opportunities.
114265917836,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),Mass Transit should be free or almost free to encourage use!
114266022619,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Turnstiles, fare enforcement"
114266502840,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Bus line to North Plains, connection to Gaston and Gales Creek"
114266532700,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"We need more stops theoughout the county, not just pockets. We need routes intersecting so that there are connections to all areas of the county. There's a threshold of connections and routes for people to be able to use it."
114266973089,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"Greater reliability, particularly during weather events (heat and cold) and at night."
114242390117,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),can't bring a dog on a bus. can't carry heavy grocery bags. often go to trails/parks not easily reached by public transit
114242493941,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),to many stops
114242663489,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),"I’ve been harassed on public transit in the past, and now that I have anxiety, I’d rather not put myself into that position again."
114243171028,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),"There are not buses near where I need to go. Looking at progress Ridge to area community colleges and, if possible, would take several hours."
114245190864,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),They are unsanitary and packed full with people with standing room only during rush hour and no cover to keep you dry.
114245193869,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),I live close to what I need to access.
114245541210,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Dirty and unsafe feeling especially since the pandemic
114247463294,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),not easy for those whom cannot walk or stand for long periods
114248366397,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Takes me less time to drive than take Max
114248387170,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),"last time I tried, the buses and the train were dirty, and had bad odor."
114248662183,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),I go to many different places the same day and on different days. I drive children and family members.
114249499862,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Overnight parking not available if we take max to pdx
114249532656,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),"not convenient, too time consuming, unsafe"
114249555616,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Kids
114249564776,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),I prefer to be the driver
114251013745,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Don't feel safe in covid way -- not socially distanced -- not everyone wearing masks.
114251133199,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),I'm only driving in a 2 mile radius most days.
114251138780,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),No covers or space for my scooter if there is a cover from rain or hot sun
114253106105,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),I need to take a large amount of tools with me for work. it is not easy to carry as required by public transit
114254135030,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Transit doesn’t have routes to where I work in multiple places
114255387052,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Sunday - no service to Hillsboro Brookwood Library. Monday/Friday - only 5-7 min lead time for arrival and departure. Wednesday/Thursday - no service during arrival and departure time.
114258231271,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),"No direct route from my area to where I need to go, requires multiple buses"
114258353304,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),max doesn't come often enough and is often impacted by police activity in portland
114258454124,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),lack of sanitation along with lack of security
114260867655,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Convenience. Usually I make multiple stops when I run errands which would be difficult to manage everything on public transit
114261080953,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),There are no efficient east-west routes in Tigard making connections to frequent transit routes nearly impossible.
114264878062,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),I used to ride the MAX downtown to work but now work from home. If I were to still work downtown I would not ride the MAX as I don't feel it is safe.
114265369535,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),I own a car and prefer to drive.
114266519952,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),Inconvenient
114266644945,11,What gets in the way of you taking transit? (check all that apply),NA,Other (please specify),"Lack of crosswalks at bus stops. Lots of stops on 185th between Baseline and TV Highway, but no way to cross 185th. The area is being filled with multifamily housing, increased traffic but no improvements to address this issue. Also hazardous to drivers as people try to dart across."
114242390117,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),expanded bus service
114242423442,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Lines run closer to where I live. I have to walk 0.75 mile to the nearest bus stop.
114242426526,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),No interest in transit.
114242493941,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),less stops to make trip faster
114242801470,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Not being forced to transfer in Downtown Portland when I need to travel from one south suburb to another.
114243057129,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Get light rail into Forest Grove
114243171028,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Transit around metro area needs to be increased.
114243569543,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),safety
114244129482,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Tired of tripping over the homeless and their garbage!
114244195421,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),parking near bus stops
114244227091,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Nothing
114244291330,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),stops closer to work and home
114244416818,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Substantially higher density of route networks (implicit I suppose in some of the other answers).
114245114903,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),(1) Early morning schedule & (2) digital display (next arrival and/or delay msg)
114245190864,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),It was in close proximity to my house and an express max/bus line that took me directly to work in a timely fashion without having to transfer several times and wait in the rain.
114245442278,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),NO new trains
114248387170,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Add more vehicles to the public Transportation system
114248662183,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Speed. Lots of routes. Very frequent. Like a subway system.
114249274409,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Stops should be located closer for easy access
114249532656,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),"pick me up at home, drop me off at work or shops"
114249537609,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),"I wish there were some bus stops closer to my home.  I have to walk about 1/2 a mile to get to the closest bus stop.  This is especially a concern for me at night and/or when it’s raining.  In addition, due to the distance, I am unable to carry anything heavy."
114251119961,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),nothing these days would get me on public transit. I used to use it for concerts and getting to the airport but would not do that these days.
114251138780,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),"I have an old mobility scooter that aren't made anymore, but that would make me a bit safer. Its also tight spot for my scooter"
114252365354,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Stops closer to my home.
114253106105,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),more train options or transportation not as impacted by traffic
114253504157,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),shuttle to transit center serves my neighborhood
114254135030,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),"It doesn’t work for me and when I did use it, it took too long"
114255440015,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Closer stops to home
114257302797,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Transit becomes an option for the Bull Mountain area.
114257432827,12,Which of the following improvements would make you consider riding transit?,NA,Other (please specify),Privatize it. Trimet is incompetent
